QUESTION,BT LEVEL
"Suppose prices of two goods are constant, explain what will happen to the budget line if there is an increase in consumer's income. Support your answer with an appropriate diagram.	",Understanding
"Explain the concept of price leadership observed under the condition of oligopoly, by using graphs. ",Understanding
Define profit. Briefly explain how accounting profit is different from economic profit.,Understanding
Describe the assumptions of monopolistic competitive market.,Understanding
"Explain the meaning of the law of diminishing marginal returns. Briefly describe the relationship between total product (TP) and marginal product (MP), marginal product (MP) and average product (AP).",Understanding
Evaluate why a monopolist holds more undesirable characteristics in comparison to a perfect competitor. Give evidence from the graph to support your answer.,Evaluating
"Using Marginal approach, explain and identify how many unit of CD players should the firm producer per day if its goal is to maximize its profit.",Applying
"As opposed other curves, justify with explanation why Average Fixed Costs
	(AFC) is negatively sloped.",Evaluating
Identify whether the firm is in the short-run or long-run  equilibrium. Explain.,Understanding
Illustrate and explain how perfect competitive firms adjust in long-run if they are enjoying positive economic profit in short-run.,Understanding
Assuming that this monopolist is regulated to produce at that quantity where price equals average total cost. Calculate and find out what is the quantity the monopolist will produce and the price it will charge given this regulatory scenario.,Applying
Identify THREE (3) types of imperfectly competitive firms and construct THREE (3) important characteristics of these imperfectly competitive firms.,Applying
Various policies were implemented by the governments in order to mitigate the concerns over efficient losses arising from natural monopoly. Describe natural monopoly and provide ONE (1) example of natural monopoly.,Understanding
Describe Prisoner Dilemma in the context of game theory.,Remembering
Highlight the differences between an equilibrium in dominant strategy as compared to Nash equilibrium.,Understanding
State which market structure adopts this practice. List and briefly explain what are the conditions needed for this practice to be successful.,Understanding
Explain types of price discriminations.,Understanding
"By using appropriate diagrams, explain how a decreasing cost industry affects the long-run supply curve in a perfectly competitive market.",Understanding
"Briefly explain the income-consumption curve. With the aid of diagrams, derive income-consumption curve and Engel curve if there is an increase in income given that the good is an inferior good. Explain your answer by showing at least two bundles of goods in the diagrams.",Understanding
Briefly explain the characteristics of monopolistic market structure.,Understanding
